Frequency (Hz),FreqErr,Amplitude 1 (V),V1Err,Amplitude 2 (V),V2Err,Phase 2-1 (deg),PhaseErr
347,0.4,6.4,,4.28,,46.5,1.5
10,1.6,8.6,,0.24,,91.1,1
20,1.6,9.6,,0.552,,86.7,50
40,1.6,10,,1.4,,103,20
80,1.6,9.28,,2.08,,75.5,16
160,1.6,8.16,,3.28,,63.3,2.6
320.1,1.6,6.64,,4.4,,52.3,2.2
720.5,2,5.54,,5.52,,4.8,1
1441,3,5.2,,5,,15.6,0.5
2890,6,5.24,,5.6,,10.3,1.68
5760,20,5.2,,5.4,,5.2,1.8
10000,20,5.2,,5.04,,2.88,2.74
348,0.4,6.4,,4.24,,45.6,1.5
350,0.6,6.32,,4.32,,46.3,0.8
355,1.1,6.32,,4.24,,44.6,0.5
360,0.3,6.32,,4.4,,46.1,1.5
370,0.7,6.32,,4.4,,45.4,1.5
450,0.35,6,,4.4,,38.2,1.2
250,0.6,7.12,,3.92,,55.1,2
