trial,voltage_V,neutral_fall_seconds,charged_rise_seconds,ionization_seconds,d,rho,g,eta,b,p,room_temp
6,511.3,16.98,1.31,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,14.81,1.21,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,14.81,2.17,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,15.25,1.54,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,15.52,1.71,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,13.03,1.15,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,15.51,1.28,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,18.86,1.53,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,15.02,2.09,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
6,511.3,13.74,1.98,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
